Tool,DOI,Programming_Language,Details,Source,License,Underlying_algorithms,Underlying_assumptions,Strengths_weaknesses,Overall_performance,OxfordNanopore,PacBio,tenxGenomics,BionanoGenomics,HiC,fast5FileProcessing,Basecalling,LongReadOverlapping,DenovoAssembly,Alignment,Scaffolding,GeneratingConsensusSequence,ErrorCorrectionAndPolishing,EvaluatingExisitingMethods,IsoformDetection,BaseModificationDetection,QualityChecking,SNPAndVariantAnalysis,Visualisation,ReadQuantification,SuitableForSingleCellExperiments,TestedOnHumanData,TestedOnNonHumanData,Normalisation,ProvideSummaryStatistics,QualityTrimming,AvailablityOfTestData,Transcriptomics,GapFilling,AnalysisPipelines,Simulators,QualityFiltering,Demultiplexing,Metagenomics,TaxonomicClassification,polyALengthEstimation,RNAStructure,FusionDetection,CoexpressionAnalysis,DataStructures,cfDNActDNA
AlignGraph2,10.1093/bib/bbab022,"C++, Python",A genome assisted reassembly pipeline for PacBio long reads,https://github.com/Godotcoffee/AlignGraph2,,Version of AlignGraph assembler to handle PacBio data,,,,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AlignQC,10.12688/f1000research.10571.2,Python,"Uses 3 layers of quality assessments; (1) basic statistics of the data, including read length, alignment and coverage across all chromosomes; (2) error pattern analysis if a reference genome is provided; (3) transcript-related statistics if a gene annotation is provided.  Alignqc takes the standard BAM format file as the input, outputs XHTML format file for easy visualization, and provides links to access all analysis results.",https://github.com/jasonweirather/AlignQC,,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ALLPATHS-LG,10.1073/pnas.1017351108,C++,Uses hybrid and debruijin graphs,https://software.broadinstitute.org/allpathslg/blog,Broad Institute,,,,,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Alpaca,10.1186/s12864-017-3927-8,"Perl, C, Shell",A hybrid strategy for assembly of genomic DNA shotgun sequencing reads.,https://github.com/VicugnaPacos/ALPACA,GNU General Public License v2.0,,,,,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Amortized-HMM,10.1101/2021.06.17.448800,,base modifications calling from limited supervised data,Not Available,,HMM and neural network,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
annotate_my_genomes,10.1093/gigascience/giac099,"Shell, Nextflow, Python",Transcriptome annotation from short and long RNA-seq,https://github.com/cfarkas/annotate_my_genomes,MIT License,Stringtie,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Apollo,10.1093/bioinformatics/btaa179,C++,A profile hidden Markov model-based universal assembly polishing algorithm,https://github.com/CMU-SAFARI/Apollo,GNU General Public License v3.0,,,,,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Architect,10.1093/bioinformatics/btw267,Python,A genomic scaffolder aimed at synthetic long read and read-cloud sequencing technologies,https://github.com/kuleshov/architect,,,,,,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ARCS,10.1093/bioinformatics/btx675,C++,Scaffolding genome assemblies,https://github.com/bcgsc/arcs,GNU General Public License v3.0,,,,,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Arrow,,"Python, Perl",An improved consensus model (phase out of Quiver) based on a more straightforward hidden Markov model approach,https://github.com/PacificBiosciences/GenomicConsensus,BSD 3-Clause Clear License,,,,,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ARTIC,,"Python, Shell, C","A pipeline and set of accompanying tools for working with viral nanopore sequencing data, generated from tiling amplicon schemes.",https://github.com/artic-network/fieldbioinformatics,MIT License,,,,,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
ASA3P,10.1371/journal.pcbi.1007134,"Groovy, Javascript","An automatic and scalable pipeline for the assembly, annotation and higher-level analysis of closely related bacterial isolates",https://github.com/oschwengers/asap,GNU General Public License v3.0,,,,,True,True,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ASHURE,10.1111/2041-210X.13561,Python,Pipeline for making consensus from RCA/1D^2 nanopore data,https://github.com/BBaloglu/ASHURE,GNU Lesser General Public License v3.0,,,,,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
AsmVar,10.1186/s13742-015-0103-4,C++,"A software for discovery, genotyping and characterization of structural variants",https://github.com/bioinformatics-centre/AsmVar,MIT License,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Assemblytics,10.1093/bioinformatics/btw369,"JavaScript, Python",Software to identify structural variations based on contigs with uniquely aligned regions to a reference sequence,https://github.com/marianattestad/assemblytics,MIT License,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Athlon,10.1016/j.jmoldx.2018.02.006,"Shell, Python",Accurate Typing of Human Leukocyte Antigen (HLA) by Oxford Nanopore Sequencing. Bash pipeline,https://github.com/cliu32/Athlon,Copyright (c) 2018 Washington University,"seqtk, version 1.0-r31; BLASR, version 2.0.0; Samtools, version 1.2 using htslib 1.2.1; Bedtools, version 2.25.0; Pyfaidx, version 0.4.8.3; freebayes, version 1.1.0; Blast, version 2.2.31",,,,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Automation,10.1093/bioinformatics/btv046,Python,Alignment of nanopore data using HMM,https://github.com/UCSCNanopore/Data,,,,,,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Badread,10.21105/joss.01316,Python,A long-read simulator tool that makes substandard reads,https://github.com/rrwick/Badread,GNU General Public License v3.0,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
bambu,10.1038/s41592-023-01908-w,R,A reference-guided transcript discovery and quantification for long read RNA-Seq data,https://github.com/GoekeLab/bambu,GNU General Public License v3.0,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
BamSlam,,R,A script to generate important quality statistics and plots from aligned Oxford Nanopore direct RNA-seq data,https://github.com/josiegleeson/BamSlam,MIT License,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Basecaller_comparisons,10.1186/s13059-019-1727-y,"Python, Shell","Compares Albacore, Guppy, Scrappie, deepnnano, Chiron",https://github.com/rrwick/Basecalling-comparison,GNU General Public License v3.0,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
basecRAWller,10.1101/133058,,DEPRECATED:: Basecaller for Nanopore,Not Available,,,,,,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
baseLess,10.1101/2022.07.10.499286,Python,lightweight detection of sequences in raw nanopore data,https://github.com/cvdelannoy/baseLess,MIT License,tombo,reference fasta needed,"ligthweight, no basecalling",,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False
basemods,,R,R functions and examples for custom analysis of the base modification data output by SMRTPortal,https://github.com/PacificBiosciences/Bioinformatics-Training/tree/master/basemods,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BaseModsTools,,Python,Tools for optimizing and quality checking performance of basemods and related tools on PacBio Data,https://github.com/bnbowman/BaseModsTools,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BASTA,10.1111/2041-210X.13095,Python,Taxonomic classification of nucleotide sequences based on LCA estimations,https://github.com/timkahlke/BASTA,GNU General Public License v3.0,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
BELLA,10.1101/464420,"C++, C",Berkeley Efficient Long-Read to Long-Read Aligner and Overlapper,https://github.com/giuliaguidi/bella,Copyrighted material,,,,,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Betaduck,,Python,For tidying the PromethION outputs and visualising the data,https://github.com/alexiswl/betaduck,GNU General Public License v3.0,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BioNano-Access,,,Bionano Access is a web portal that provides all the software needed for experiment management and Bionano genome mapping in one place,https://bionanogenomics.com/support-page/bionano-access,,,,,,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
bionano-tools,,"Perl, Shell",Custom tools to 'facilitate' BioNano Genomics data analysis,https://github.com/Nucleomics-VIB/bionano-tools,Creative Commons Attribution-ShareAlike 3.0 Unported License,,,,,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
BLASR,10.1186/1471-2105-13-238,"C++, Perl",The long read aligner for PacBio,https://github.com/PacificBiosciences/blasr,BSD 3-Clause Clear License,,,,,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BLAT,10.1101/gr.229202,,Identify exon structures of mRNAs using alignment approach,http://genome.ucsc.edu/FAQ/FAQblat#blat3,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
BLAZE,10.1101/2022.08.16.504056;10.1186/s13059-023-02907-y,Python,Barcode identification from Long reads for AnalyZing single cell gene Expression,https://github.com/shimlab/BLAZE,GNU General Public License v3.0,,long-read 10X single-cell transcriptomics,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
BlockPolish,10.1093/bib/bbab405,Python,accurate polishing of long-read assembly via block divide-and-conquer,https://github.com/huangnengCSU/BlockPolish,MIT License,"BlockPolish couples four Bidirectional LSTM layers with a compressed projection layer and a flip-flop projection layer to predict the consensus sequence according to the reads-to-assembly alignment. Uses BPFGM, minimap2, racon, samtools.",,,,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BNG-FlagSiteRepair,,Perl,Repairs (stitching) across fragile sites breaks in BioNano genome maps.,https://github.com/ekfchan/BNG-FragileSiteRepair,,,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
BoardION,10.1186/s12859-021-04161-0,"C++, R",An interactive web application to analyze the efficiency of ONT sequencing runs,https://github.com/institut-de-genomique/BoardION,CeCILL FREE SOFTWARE LICENSE,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bonito,,Python,Convolution basecaller for Oxford Nanopore reads,https://github.com/nanoporetech/bonito,"Oxford Nanopore Technologies, Ltd. Public License Version 1.0",Convolutional neural network,,,,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bookend,10.1186/s13059-022-02700-3,"Cython, Python",End-guided transcriptome assembly.,https://github.com/Gregor-Mendel-Institute/bookend,MIT License,,,,,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
BoostNano,,Python,A segmentation toolkit for segment the Nanopore RNA signal,https://github.com/haotianteng/BoostNano,Mozilla Public License 2.0,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
BOSS-RUNS,10.1038/s41587-022-01580-z,Python,Benefit-OptimisingÊShort-termÊStrategies forÊReadUntilÊNanoporeÊSequencing,https://github.com/goldman-gp-ebi/BOSS-RUNS,GNU Affero General Public License v3.0,"Readfish, ReadUntil",,dynamically adapts decision strategies,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BOSS-RUNS,10.1038/s41587-022-01580-z,Python,"Allows for dynamic, adaptive sampling during nanopore sequencing",https://github.com/goldman-gp-ebi/BOSS-RUNS,GPL-3.0 License,readfish,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
BugSeq,10.1101/2020.10.08.329920,Nextflow,"BugSeq is an online platform enabling end-to-end, rapid and highly accurate analysis for long-read sequencing data avaialble at https://bugseq.com/free",Not Available,,Demultiplexing with G493;Quality control with prinseq-lite;Alignment against RefSeq with minimap2;Pathoscope;Calculate lowest common ancestor;NanoCLUST;Assembly with metaFlye,"BugSeq takes raw sequencing data in FASTQ, FAST5 or FASTA format. Analysis is automatically tailored based on the format of the input data, and an intelligent detection of experimental design (eg. metagenomic, 16S, ITS or other).","BugSeq enables a fully automated end-to-end analysis for microbial sequencing data, including basecalling, quality control, taxonomic classification, assembly, microbial typing, consensus generation and antimicrobial resistance prediction. BugSeq version 1 is more accurate than all metagenomic classifiers for long-read sequencing data while maintaining competitive or superior run times.",BugSeq (F1=0.91-0.95) offers better read classification than MetaMaps (F1=0.89-0.94) in a fraction of the time. BugSeq significantly improves on the accuracy of Centrifuge (F1=0.79-0.93) while offering competitive run times. We apply BugSeq to metagenomic sequencing of 41 samples from patients with lower respiratory tract infections and show that it produces greater concordance with microbiological culture and qPCR compared with What is In My Pot analysis.,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False
BulkVis,10.1093/bioinformatics/bty841,Python,An app to visualise raw squiggle data from Oxford Nanopore Technologies (ONT) bulkfiles,https://github.com/LooseLab/bulkVis,MIT License,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BusyBee,10.1093/nar/gkx348,,Webserver for metagenomic analysis of long reads or contigs,https://ccb-microbe.cs.uni-saarland.de/busybee,,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
buttery-eel,10.1101/2023.02.06.527365,Python,Wrapper for guppy to basecall slow5 files,https://github.com/Psy-Fer/buttery-eel,MIT License,guppy,nanopore data in Slow5 file,,,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
bwa-mem,10.48550/arXiv.1303.3997,"C, Javascript",DEPRECATED: replaced by minimap2 for long-read alignment,https://github.com/lh3/bwa,GNU General Public License v3.0,Burrows-Wheeler Alignment,,,,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
bwa-sw,10.1093/bioinformatics/btp698,C++,Genomic alignment. Now superseded by minimap2.,http://bio-bwa.sourceforge.net/,GNU General Public License v3.0,,,,,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
C3POa,,Python,Computational pipeline for calling consensi on R2C2 nanopore data,https://github.com/rvolden/C3POa,GNU General Public License v2.0,,,,,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
C3S-LAA,10.1186/s12859-018-2293-0,Python,Clustering of Circular Consensus Sequences (C3S) for Long Amplicon Analysis of PacBio Data,https://github.com/drmaize/C3S-LAA,MIT License,,,,,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Canu,10.1101/gr.215087.116,"C++, C","Detect overlaps in high-noise sequences using MHAP. Generate corrected sequence consensus. Trim corrected sequences. Assemble trimmed corrected sequences. Takes all-vs-all read self-mappings (typically by minimap) as input and outputs an assembly graph in the GFA format. Different from mainstream assemblers, miniasm does not have a consensus step. It simply concatenates pieces of read sequences to generate the final contig sequences. Thus, the per-base error rate is similar to the raw input reads.",https://github.com/marbl/canu,GNU General Public License v2.0,,,,,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CARNAC-LR,10.1093/nar/gky834,C++,Clustering coefficient-based Acquisition of RNA Communities in Long Reads,https://github.com/kamimrcht/CARNAC-LR,GNU General Public License v3.0,,,,,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CarrierSeq,10.1186/s12859-018-2124-3,"Shell, Python",Sequence analysis workflow for low-input nanopore sequencing which employs a genomic carrier.,https://github.com/amojarro/carrierseq,MIT License,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
CATCaller,10.1101/2020.11.09.374165,"Python, Cuda",An end2end ONT Basecaller using Convolution-augmented Transformer,https://github.com/biomed-AI/CATCaller,,Long-Short Range Attention and flattened FFN layer,,"Faster than SACall, only trained on bacterial genomes",Generally more accurate than SACall and older Guppy v3.2.2 on specific datasets,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Causalcall,10.3389/fgene.2019.01332,Python,Nanopore basecalling using a temporal convolutional network,https://github.com/scutbioinformatic/causalcall,,temporal convolutional network (TCN) and a connectionist temporal classification (CTC) decoder,,,,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ccsmeth,10.1101/2022.02.26.482074,Python,Detecting DNA methylation from PacBio CCS reads,https://github.com/PengNi/ccsmeth,BSD 3-Clause Clear License,deep learning: bidirectional Gated Recurrent Unit (GRU) and attention neural networks,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
cDNA_Cupcake,,Python,A collection of R and Python scripts to manipulate Iso-Seq data,https://github.com/Magdoll/cDNA_Cupcake,BSD 3-Clause Clear License,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Centrifuge,10.1101/gr.210641.116,C++,Classifier for metagenomic sequences,https://github.com/infphilo/centrifuge,GNU General Public License v3.0,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False
centroFlye,10.1038/s41587-020-0582-4,"Python, C++",An algorithm for centromere assembly using long error-prone reads,https://github.com/seryrzu/centroFlye,"BSD 3-Clause ""New"" or ""Revised"" License",,,,,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cerulean,,,DEPRECATED::Hybrid assembler,https://sourceforge.net/projects/ceruleanassembler,,,,,,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
cfNano,10.1186/s13059-022-02710-1,"R, Matlab, Perl, Python",Deconvolute cell types from cell-free DNA methylation,https://github.com/methylgrammarlab/cfdna-ont,MIT License,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
